FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE
2015-01-01,EV,20366,EV,5327,13485,1348502,33485,MSN,11433,1143302,31295,DTW,1646,1632,-14.00,9.00,1641,1830,4.00,1904,1834,-30.00,0.00,,0.00,311.00
2015-01-01,EV,20366,EV,5330,10785,1078502,30785,BTV,12953,1295302,31703,LGA,0728,0723,-5.00,10.00,0733,0818,9.00,0900,0827,-33.00,0.00,,0.00,258.00
2015-01-01,EV,20366,EV,5331,10397,1039705,30397,ATL,10868,1086803,30868,CAE,1457,1452,-5.00,16.00,1508,1541,2.00,1556,1543,-13.00,0.00,,0.00,192.00
2015-01-01,EV,20366,EV,5334,10146,1014602,30146,ABY,10397,1039705,30397,ATL,1500,1453,-7.00,5.00,1458,1536,4.00,1558,1540,-18.00,0.00,,0.00,145.00
2015-01-01,EV,20366,EV,5334,10397,1039705,30397,ATL,10146,1014602,30146,ABY,1339,1332,-7.00,9.00,1341,1410,2.00,1431,1412,-19.00,0.00,,0.00,145.00
2015-01-01,EV,20366,EV,5335,10397,1039705,30397,ATL,11995,1199502,31995,GSO,1459,1457,-2.00,14.00,1511,1558,3.00,1613,1601,-12.00,0.00,,0.00,306.00
2015-01-01,EV,20366,EV,5335,11995,1199502,31995,GSO,10397,1039705,30397,ATL,1648,1644,-4.00,7.00,1651,1746,5.00,1814,1751,-23.00,0.00,,0.00,306.00
2015-01-01,EV,20366,EV,5336,11778,1177801,31778,FSM,10397,1039705,30397,ATL,1655,1647,-8.00,11.00,1658,1912,20.00,1938,1932,-6.00,0.00,,0.00,579.00
2015-01-01,EV,20366,EV,5338,10397,1039705,30397,ATL,11481,1148102,31481,ECP,0915,0911,-4.00,15.00,0926,0908,3.00,0923,0911,-12.00,0.00,,0.00,240.00
2015-01-01,EV,20366,EV,5338,11481,1148102,31481,ECP,10397,1039705,30397,ATL,0959,0952,-7.00,18.00,1010,1154,4.00,1200,1158,-2.00,0.00,,0.00,240.00
